system,noise,snr_db,PESQ,SIG,BAK,OVRL,CSIG,CBAK,COVL,n_files
AIDA2_thetaWFB,cafe,2.5,1.2088454649561928,2.593197561269315,2.8633373618841027,2.0268128552270253,1.9650712671723771,1.5687743806682934,1.4965338643186648,42
AIDA2_thetaWFB,cafe,7.5,1.3725671738386154,2.934075382948009,3.4604635208299173,2.460268987963029,2.5016164774653804,1.785463783744086,1.8746689715206568,40
AIDA2_thetaWFB,cafe,12.5,1.5671687155235103,3.109495057275853,3.692655492483985,2.6926776741114504,2.9146658653962825,1.9711595184202615,2.1989731189814807,41
AIDA2_thetaWFB,cafe,17.5,1.7593591474905246,3.2111742436558472,3.900099985110423,2.884234080239449,3.2552398648918146,2.128026366820043,2.4824753432692845,41
AIDA2_thetaWFB,living,2.5,1.273568902696882,2.877274227512212,3.1317542251530184,2.2887037284986613,2.09381517104501,1.6377194362076273,1.5968344606083409,42
AIDA2_thetaWFB,living,7.5,1.4599433427765256,3.054892115147094,3.5922764565893575,2.597035234526911,2.494005106430284,1.8713446078652796,1.9239374210314233,42
AIDA2_thetaWFB,living,12.5,1.6309705405008226,3.170065368338725,3.7992102964063887,2.7933876066163714,2.8824609911706216,2.009958617309362,2.216563752633524,42
AIDA2_thetaWFB,living,17.5,1.7612631171941757,3.175636010490762,3.8859950881847487,2.840629178674061,3.11533489974922,2.143518584582467,2.4165332497486802,40
AIDA2_thetaWFB,office,2.5,1.7359316229820252,3.1381462209063993,3.8964334881414247,2.809109895982849,3.1037553229185053,2.0500198791363102,2.3904190568095305,40
AIDA2_thetaWFB,office,7.5,2.0733980114867046,3.1753504933603103,3.9830625253268366,2.87991658859576,3.605006142072986,2.2735152459158026,2.825862404065402,41
AIDA2_thetaWFB,office,12.5,2.299169577303387,3.2924540201923236,4.018475997130085,3.0079699626757637,3.8831960334981193,2.4173917608429663,3.090606655260594,42
AIDA2_thetaWFB,office,17.5,2.3153752146697624,3.3106254380111033,4.04788403825865,3.037507001434573,4.042680148030012,2.509519095855793,3.1940037497129916,41
AIDA2_thetaWFB,psquare,2.5,1.3537092615918416,2.937438713667739,3.463388927128324,2.4660211871052287,2.644319335178398,1.7495176397016032,1.9356098892185556,41
AIDA2_thetaWFB,psquare,7.5,1.5720146525473822,3.1491781140022668,3.704961490112668,2.7355201444660557,2.9697398891225646,1.9480541602885122,2.227474253710059,42
AIDA2_thetaWFB,psquare,12.5,1.715540522482337,3.2809086265377525,3.887101352378085,2.9297630210284695,3.331010358015886,2.077136187172409,2.4982975683988453,41
AIDA2_thetaWFB,psquare,17.5,1.9466417460214525,3.3118971156932817,3.9270076106538934,2.980609312822039,3.5614679472781865,2.2611118712491094,2.740855639851227,42
AIDA2_thetauFB,bus,2.5,1.6022192410060339,3.1577860060030862,3.707153856514207,2.7485522857724534,2.888124304547828,1.908097627527226,2.18587744976731,42
AIDA2_thetauFB,bus,7.5,1.9238080077055024,3.269041754347805,3.929704353987415,2.9383262348448436,3.346179772299353,2.1810660901927164,2.6065707189276273,41
AIDA2_thetauFB,bus,12.5,2.0353524452302514,3.306817471579397,3.9651955255627938,2.994321040085468,3.648455017297328,2.3309904402865413,2.83352831076547,41
AIDA2_thetauFB,bus,17.5,2.290014299750328,3.336348366258176,4.003662581256089,3.0438150571420146,3.9277361230148182,2.503427522778749,3.1142600343967164,40
AIDA2_thetauFB,cafe,2.5,1.1794947925068082,2.384275035249478,2.4071165519427105,1.8451373439791965,1.8115782079832674,1.5931337763291342,1.4051663280772868,42
AIDA2_thetauFB,cafe,7.5,1.3316348224878312,2.9501628016129295,3.328718213182725,2.4235578371604856,2.360081168282661,1.8176309031519646,1.7844213342627016,40
AIDA2_thetauFB,cafe,12.5,1.4996521356629162,3.1333537780071774,3.653590966566117,2.699267158829393,2.7621347748491623,1.9803259604959809,2.0898241513991027,41
AIDA2_thetauFB,cafe,17.5,1.6998810768127441,3.2401008685449004,3.9007826131704104,2.912789182754987,3.1519889964953003,2.1386909551654987,2.402884073744208,41
AIDA2_thetauFB,living,2.5,1.2353835105895996,2.87816904535948,3.006508550740653,2.2377611449127537,1.979502144969387,1.673563104113215,1.5204763495986673,42
