system,noise,snr_db,metric,n,mean,ci_low,ci_high,nu_mean
AIDA2_betauFB,living,7.5,CBAK,42,1.73568856716156,1.6768628358840942,1.7913014888763428,24.192014694213867
AIDA2_betauFB,living,7.5,COVL,42,1.9869422912597656,1.8757457733154297,2.099551200866699,22.186586380004883
AIDA2_betauFB,living,12.5,PESQ,42,1.7624186277389526,1.6461570262908936,1.8834186792373657,23.620590209960938
AIDA2_betauFB,living,12.5,CSIG,42,3.025763750076294,2.899853229522705,3.1547634601593018,19.005321502685547
AIDA2_betauFB,living,12.5,CBAK,42,1.984616756439209,1.917984127998352,2.0529398918151855,19.78212547302246
AIDA2_betauFB,living,12.5,COVL,42,2.352060079574585,2.229698657989502,2.4728786945343018,22.32159996032715
AIDA2_betauFB,living,17.5,PESQ,40,2.314899444580078,2.189446449279785,2.4377896785736084,22.20842742919922
AIDA2_betauFB,living,17.5,CSIG,40,3.538726806640625,3.369638204574585,3.6994895935058594,22.009136199951172
AIDA2_betauFB,living,17.5,CBAK,40,2.3859455585479736,2.318734645843506,2.452598810195923,22.26429557800293
AIDA2_betauFB,living,17.5,COVL,40,2.9033737182617188,2.7561609745025635,3.050161838531494,24.82229995727539
AIDA2_betauFB,office,2.5,PESQ,40,1.9122449159622192,1.7655106782913208,2.0564208030700684,26.04876708984375
AIDA2_betauFB,office,2.5,CSIG,40,3.259852409362793,3.1473467350006104,3.3720688819885254,23.692432403564453
AIDA2_betauFB,office,2.5,CBAK,40,1.9650952816009521,1.8821505308151245,2.043976306915283,24.822172164916992
AIDA2_betauFB,office,2.5,COVL,40,2.557443141937256,2.436262369155884,2.677605152130127,25.590564727783203
AIDA2_betauFB,office,7.5,PESQ,41,2.4696760177612305,2.3389179706573486,2.598294258117676,24.29023551940918
AIDA2_betauFB,office,7.5,CSIG,41,3.8997035026550293,3.794292688369751,4.000121116638184,24.81368637084961
AIDA2_betauFB,office,7.5,CBAK,41,2.3505935668945312,2.2769711017608643,2.4203073978424072,23.471492767333984
AIDA2_betauFB,office,7.5,COVL,41,3.172600507736206,3.0536129474639893,3.2920784950256348,24.765295028686523
AIDA2_betauFB,office,12.5,PESQ,42,2.932874917984009,2.799372673034668,3.0621917247772217,18.79550552368164
AIDA2_betauFB,office,12.5,CSIG,42,4.333279609680176,4.228574275970459,4.436337947845459,21.883188247680664
AIDA2_betauFB,office,12.5,CBAK,42,2.677216053009033,2.60447359085083,2.753281354904175,21.11556053161621
AIDA2_betauFB,office,12.5,COVL,42,3.6401984691619873,3.518838405609131,3.7567362785339355,20.617504119873047
AIDA2_betauFB,office,17.5,PESQ,41,3.3773419857025146,3.246408462524414,3.4989118576049805,11.815025329589844
AIDA2_betauFB,office,17.5,CSIG,41,4.745995998382568,4.649239540100098,4.8416972160339355,16.091394424438477
AIDA2_betauFB,office,17.5,CBAK,41,3.0204079151153564,2.944979190826416,3.0854687690734863,11.600043296813965
AIDA2_betauFB,office,17.5,COVL,41,4.088505268096924,3.969843864440918,4.205224514007568,15.365530967712402
AIDA2_betauFB,psquare,2.5,PESQ,41,1.2912280559539795,1.2347007989883423,1.3489670753479004,15.356302261352539
